PLAYER,TM,POS,GP,GS,MIN,FG,FGA,X3P,X3PA,FT,FTA,OR,DR,TR,AST,STL,TO,Blk,PF,PTS
Marcus Camby,NYK,C,24,4,251,17,53,0,0,8,19,24,56,80,14,7,15,14,28,42
Marcus Morris,HOU,PF,54,17,1153,171,400,74,194,49,75,63,156,219,47,27,53,16,120,465
Marcus Morris,PHO,PF,22,6,363,51,125,12,38,17,42,17,41,58,15,18,22,4,40,131
Marcus Thornton,SAC,SG,71,8,1724,332,773,141,378,111,126,50,131,181,91,60,67,4,105,916
Mario Chalmers,MIA,PG,77,77,2065,230,535,126,307,85,108,19,154,173,269,115,118,12,194,671
Markieff Morris,PHO,PF,81,31,1826,265,651,45,134,91,125,130,259,389,107,75,104,63,207,666
Marquis Daniels,MIL,SF,59,33,1093,133,349,20,72,40,54,48,98,146,66,49,45,11,77,326
Marquis Teague,CHI,PG,48,0,392,43,113,4,23,9,16,3,41,44,63,9,35,7,47,99
Marreese Speights,CLE,PF,38,1,717,154,336,1,5,85,106,70,127,197,29,14,44,26,87,394
Marreese Speights,MEM,PF,40,2,576,106,247,2,5,48,67,76,113,189,18,10,35,27,86,262
Marshon Brooks,BKN,SG,74,2,937,157,340,15,56,69,94,32,74,106,77,36,70,16,94,398
Martell Webster,WAS,SF,77,63,2222,284,643,140,331,174,205,53,243,296,146,50,90,18,167,882
Marvin Williams,UTH,PF,74,51,1728,199,470,54,166,77,99,55,208,263,77,37,60,38,98,529
Matt Barnes,LAC,SF,80,4,2060,312,675,111,325,87,117,111,255,366,123,82,90,63,233,822
Matt Bonner,SAS,PF,69,4,928,112,232,53,122,11,15,25,104,129,38,17,16,23,86,288
Matt Carroll,CHA,SG,1,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Maurice Harkless,ORL,SF,15,14,569,75,187,8,44,33,57,31,44,75,15,26,28,13,43,191
Metta World Peace,LAL,SF,75,66,2531,332,824,141,412,124,169,101,271,372,112,122,98,42,198,929
Meyers Leonard,POR,C,68,9,1180,149,271,3,7,70,87,78,171,249,31,11,48,38,163,371
Michael Beasley,PHO,SF,74,20,1518,298,749,44,142,94,126,52,224,276,110,30,138,34,105,734
Michael Kidd.Gilchrist,CHA,SF,78,77,2009,276,601,2,9,138,185,129,318,447,117,53,101,69,162,692
Mickael Gelabale,MIN,SF,35,13,624,69,133,16,50,16,17,32,63,95,25,16,16,4,45,170
Mickael Pietrus,TOR,SF,19,16,388,34,98,20,64,12,18,5,31,36,9,12,16,6,33,100
Mike Conley,MEM,PG,63,63,2168,326,750,78,231,185,223,33,141,174,376,127,143,20,133,915
Mike Conley Jr.,MEM,PG,16,16,556,79,171,27,61,47,57,9,40,49,104,43,46,4,36,232
Mike Dunleavy,MIL,SF,75,3,1946,277,624,129,300,107,130,31,257,288,146,39,91,36,140,790
Mike James,DAL,PG,44,22,844,99,268,46,122,21,27,9,62,71,137,24,54,3,93,265
Mike Miller,MIA,SG,59,17,891,92,219,67,166,7,9,17,139,156,98,22,35,4,64,258
Mike Scott,ATL,PF,40,1,411,78,162,0,2,49,64,40,76,116,14,4,24,2,36,205
Miles Plumlee,IND,PF,15,0,57,7,23,0,0,3,4,12,10,22,2,0,3,3,5,17
Mirza Teletovic,BKN,PF,54,0,506,71,186,37,109,9,11,33,62,95,23,13,20,8,54,188
Mo Williams,UTH,PG,45,45,1387,226,525,59,152,73,83,24,84,108,281,46,122,9,101,584
Moe Harkless,ORL,SF,60,44,1396,185,376,24,73,40,71,91,169,260,35,62,41,47,100,434
Monta Ellis,MIL,PG,82,82,3083,598,1437,95,326,297,380,45,275,320,499,175,257,36,162,1588
Nando de Colo,SAS,PG,73,7,946,107,249,31,83,37,46,25,120,145,141,41,84,6,91,282
Nate Robinson,CHI,PG,81,23,2059,391,904,138,341,135,169,29,152,181,353,84,141,10,204,1055
Nazr Mohammed,CHI,C,62,11,664,65,174,0,2,31,43,69,115,184,25,21,24,29,95,161
Nenê ,WAS,C,58,46,1589,273,573,0,1,189,257,94,297,391,166,51,132,37,166,735
Nick Collison,OKC,PF,80,2,1560,174,291,0,4,58,76,120,208,328,120,50,68,29,195,406
Nick Young,PHI,SG,59,17,1421,225,542,73,209,107,130,25,105,130,83,34,49,14,85,630
Nicolas Batum,POR,SF,73,73,2806,352,833,165,444,178,210,97,315,412,360,91,190,83,139,1047
Nikola Pekovic,MIN,C,63,62,1954,386,745,0,1,235,316,234,316,550,55,42,101,50,143,1007
Nikola Vucevic,ORL,C,76,76,2520,453,876,0,4,86,126,268,633,901,139,59,137,77,216,992
Nolan Smith,POR,PG,39,0,284,41,112,6,28,20,28,7,20,27,35,7,28,1,26,108
Norris Cole,MIA,PG,80,4,1595,181,431,35,100,53,82,19,114,133,161,56,101,7,159,450
O.J. Mayo,DAL,SG,81,81,2882,456,1017,141,346,189,231,35,252,287,355,91,207,23,193,1242
Omer Asik,HOU,C,82,82,2462,330,609,0,0,165,295,272,682,954,77,49,176,87,221,825
Omri Casspi,CLE,SF,42,1,505,63,160,25,76,22,41,20,94,114,28,25,22,12,45,173
Orlando Johnson,IND,SG,51,0,616,72,181,36,94,22,30,20,88,108,48,10,30,9,49,202
P.J. Tucker,PHO,SG,78,44,1880,205,436,22,70,64,86,129,214,343,103,61,67,17,143,496
Pablo Prigioni,NYK,PG,77,17,1248,99,216,53,131,22,25,41,99,140,232,69,86,2,124,273
Patrick Beverley,HOU,PG,41,0,710,79,189,36,96,34,41,44,66,110,120,36,46,21,84,228
Patrick Mills,SAS,PG,16,2,200,35,75,13,35,2,3,4,15,19,17,9,20,2,12,85
Patrick Patterson,HOU,PF,47,38,1221,236,455,35,96,37,49,73,148,221,50,18,42,27,90,544
Patrick Patterson,SAC,PF,23,2,514,80,159,15,33,8,10,38,71,109,28,13,16,13,46,183
Patty Mills,SAS,PG,42,0,452,78,166,39,95,14,16,5,26,31,45,17,19,2,43,209
Pau Gasol,LAL,PF,48,41,1619,262,565,8,28,122,174,110,302,412,197,24,104,61,91,654
Paul George,IND,SF,79,79,2966,490,1173,170,467,221,271,87,515,602,330,141,234,50,227,1371
Paul Millsap,UTH,PF,77,77,2335,421,862,12,38,261,351,171,373,544,194,101,135,80,227,1115
Paul Pierce,BOS,SF,77,77,2577,476,1092,145,382,333,423,45,442,487,370,84,214,30,210,1430
Perry Jones,OKC,SF,28,1,205,33,79,0,2,10,15,11,37,48,6,4,6,4,14,76
Perry Jones III,OKC,SF,10,0,78,6,20,0,0,0,0,1,13,14,4,1,9,2,9,12
Quentin Richardson,NYK,SF,1,0,29,1,11,1,4,2,2,5,5,10,1,0,2,0,1,5
Quincy Acy,TOR,SF,29,0,355,46,82,2,3,35,42,30,48,78,12,14,17,15,56,129
Quincy Miller,DEN,SF,8,0,29,5,15,0,1,1,2,1,1,2,3,1,1,0,3,11
Quincy Pondexter,MEM,SF,58,1,1222,127,292,59,148,59,75,43,89,132,60,33,42,6,94,372
Rajon Rondo,BOS,PG,38,38,1422,225,465,12,50,60,93,43,169,212,419,70,148,9,96,522
Ramon Sessions,CHA,PG,61,0,1650,276,676,33,107,291,347,27,142,169,230,48,104,7,91,876
Randy Foye,UTH,PG,81,71,2223,290,729,176,427,118,144,17,109,126,163,66,91,26,189,874
Rashard Lewis,MIA,PF,55,8,783,104,247,51,129,26,43,18,105,123,31,21,30,13,66,285
Rasheed Wallace,NYK,PF,21,0,296,55,142,22,69,14,20,11,72,83,6,13,10,15,40,146
Ray Allen,MIA,SG,80,0,2060,295,659,142,335,142,160,40,179,219,137,67,105,15,132,874
Raymond Felton,NYK,PG,67,67,2275,373,873,92,255,101,128,50,142,192,368,92,151,14,126,939
Reggie Evans,BKN,PF,81,57,2012,130,268,0,0,117,229,264,644,908,43,76,113,13,202,377
Reggie Jackson,OKC,PG,69,0,973,148,321,24,104,52,62,21,140,161,122,29,50,12,83,372
Reggie Williams,CHA,SF,40,0,369,54,127,21,71,9,19,6,44,50,39,10,17,1,18,138
Richard Hamilton,CHI,SG,50,45,1088,204,475,16,52,66,77,16,67,83,119,24,84,5,93,490
Richard Jefferson,GSW,SF,56,1,568,62,136,14,45,38,53,5,79,84,31,14,23,7,45,176
Ricky Rubio,MIN,PG,57,47,1685,183,517,26,91,213,265,44,184,228,411,141,171,5,142,605
Robert Sacre,LAL,C,32,3,203,18,48,0,0,7,11,9,25,34,6,0,10,10,38,43
Robin Lopez,MIA,C,1,1,18,2,4,0,0,2,2,1,2,3,0,0,2,1,0,6
Robin Lopez,NOR,C,80,80,2084,377,706,0,0,157,203,223,229,452,63,31,108,126,167,911
Rodney Stuckey,DET,PG,77,24,2196,312,763,55,183,217,278,44,176,220,274,51,139,18,127,896
Rodrigue Beaubois,DAL,PG,45,0,552,65,176,21,72,30,38,9,47,56,84,19,33,4,54,181
Roger Mason Jr.,MIA,SG,1,0,13,0,4,0,2,0,0,0,0,0,2,0,1,0,0,0
Roger Mason Jr.,NOR,SG,67,13,1205,132,300,66,157,39,43,11,121,132,72,25,50,11,104,369
Ronnie Brewer,NYK,SF,46,34,708,64,175,22,71,16,39,29,71,100,40,34,14,6,27,166
Ronnie Brewer,OKC,SF,13,0,140,6,23,1,5,0,0,13,27,40,10,9,4,0,6,13
Ronnie Price,POR,PG,39,0,510,39,120,10,39,17,24,13,31,44,73,26,34,3,61,105
Ronny Turiaf,LAC,C,65,0,705,49,97,0,0,23,63,45,107,152,35,19,29,35,80,121
Roy Hibbert,IND,C,79,79,2270,388,862,1,4,163,222,295,360,655,114,40,162,208,278,940
Royal Ivey,PHI,PG,52,5,689,61,142,36,86,9,16,16,39,55,31,22,19,3,72,167
Rudy Gay,MEM,SF,42,42,1541,281,688,40,129,121,156,56,193,249,108,56,104,31,87,723
Rudy Gay,TOR,SF,33,32,1133,229,552,43,130,120,140,45,170,215,93,56,93,23,95,621
Russell Westbrook,OKC,PG,81,81,2830,663,1511,97,297,456,569,109,312,421,598,144,271,24,185,1879
Ryan Anderson,MIA,PF,1,0,31,8,15,2,6,2,2,2,1,3,3,0,2,0,1,20
Ryan Anderson,NOR,PF,79,22,2453,464,1089,211,547,146,174,186,324,510,94,42,92,30,176,1285
Ryan Hollins,LAC,C,60,0,666,70,114,0,0,66,88,50,89,139,11,6,44,34,133,206
Sam Young,IND,SF,57,3,695,59,149,16,52,23,43,25,98,123,42,15,33,8,63,157
Samardo Samuels,CLE,PF,18,1,195,22,60,0,1,14,24,10,18,28,8,3,6,3,30,58
Samuel Dalembert,MIL,C,47,23,762,137,253,1,1,38,55,105,171,276,21,17,51,53,90,313
Sasha Pavlovic,POR,SG,38,1,524,42,118,18,59,1,6,7,49,56,32,24,14,5,59,103
Scott Machado,HOU,PG,6,0,22,3,6,0,1,2,2,0,1,1,6,2,8,0,0,8
Sebastian Telfair,PHO,PG,46,2,796,94,247,43,113,44,57,12,56,68,114,28,53,10,84,275
Sebastian Telfair,TOR,PG,13,0,194,17,62,9,35,13,16,1,15,16,44,12,12,1,18,56
Serge Ibaka,OKC,PF,79,79,2458,440,768,20,57,141,189,215,394,609,42,27,125,241,211,1041
Shane Battier,MIA,SF,72,20,1786,152,361,138,315,34,40,37,124,161,77,42,33,53,147,476
Shannon Brown,PHO,PG,58,22,1400,240,570,39,141,98,125,44,105,149,108,59,73,15,92,617
Shaun Livingston,CLE,PG,48,12,1109,140,276,0,1,67,79,29,90,119,173,37,57,27,105,347
Shaun Livingston,WAS,PG,17,4,320,24,66,0,3,15,15,2,35,37,38,11,17,2,22,63
Shavlik Randolph,BOS,PF,15,0,186,22,39,0,0,7,22,24,39,63,4,7,9,7,32,51
Shawn Marion,DAL,SF,66,66,1974,345,673,22,72,75,97,144,369,513,159,74,101,45,109,787
Shelvin Mack,ATL,PG,20,1,277,42,89,16,38,10,14,0,24,24,50,10,25,0,28,110
Shelvin Mack,PHI,PG,4,0,7,1,2,0,1,0,0,0,0,0,1,0,2,0,1,2
Shelvin Mack,WAS,PG,7,2,143,16,40,4,13,1,2,3,13,16,23,6,8,0,10,37
Solomon Jones,NYK,PF,2,1,26,0,1,0,0,0,0,1,2,3,0,0,3,1,3,0
Spencer Hawes,PHI,C,82,40,2219,372,803,32,89,121,157,171,418,589,180,24,132,114,233,897
Stephen Curry,GSW,PG,77,77,2948,620,1373,269,592,259,288,59,254,313,523,123,235,12,193,1768
Stephen Jackson,SAS,SF,56,6,1095,126,336,47,174,51,72,23,134,157,81,38,78,14,91,350
Steve Blake,LAL,PG,44,12,1131,112,264,70,166,27,35,19,109,128,168,34,57,6,80,321
Steve Nash,LAL,PG,50,50,1631,236,475,57,130,107,116,26,116,142,333,30,126,5,70,636
Steve Novak,NYK,SF,80,1,1628,177,426,149,348,30,33,17,135,152,35,28,12,8,97,533
Taj Gibson,CHI,PF,65,5,1460,214,441,0,4,89,131,125,220,345,61,27,76,90,166,517
Tayshaun Prince,DET,SF,45,45,1458,215,484,23,53,74,93,43,166,209,111,21,54,13,45,527
Tayshaun Prince,MEM,SF,36,35,1153,141,328,15,40,22,37,28,125,153,85,27,35,12,41,319
Terrel Harris,MIA,SG,8,0,30,2,9,0,1,6,8,4,6,10,3,0,4,0,3,10
Terrel Harris,NOR,SG,12,0,106,2,18,0,7,1,2,0,16,16,6,2,13,3,14,5
Terrence Jones,HOU,PF,19,0,289,48,103,7,23,14,20,32,38,70,15,13,13,21,22,117
Terrence Ross,TOR,SG,73,2,1252,187,461,64,195,33,46,35,109,144,53,45,48,14,122,471
Terrence Williams,BOS,SG,23,0,287,44,88,5,13,8,19,3,35,38,37,10,19,1,12,101
Thabo Sefolosha,OKC,SG,80,80,2211,223,463,107,255,57,69,57,254,311,123,102,64,44,175,610
Thaddeus Young,PHI,SF,76,76,2621,507,960,1,8,107,186,178,381,559,123,133,85,54,191,1122
Thomas Robinson,HOU,PF,19,0,254,36,81,0,1,17,42,33,48,81,11,16,24,5,29,89
Thomas Robinson,SAC,PF,51,0,812,103,242,0,0,41,71,92,146,238,36,24,66,21,95,247
Tiago Splitter,SAS,C,82,59,2020,317,568,0,2,209,287,145,375,520,131,64,102,64,162,843
Tim Duncan,SAS,PF,70,70,2103,502,997,2,7,252,308,125,575,700,187,50,150,186,119,1258
Tim Ohlbrecht,HOU,C,2,0,9,1,2,0,0,1,1,0,1,1,1,1,3,0,1,3
Timofey Mozgov,DEN,C,42,1,371,44,87,0,2,20,26,52,57,109,10,6,25,18,59,108
Tobias Harris,MIL,SF,28,14,323,53,115,7,21,23,26,17,40,57,13,8,18,7,31,136
Tobias Harris,ORL,SF,26,19,928,175,380,27,86,78,109,54,165,219,53,23,46,35,86,455
Toney Douglas,HOU,PG,49,0,916,139,352,61,162,60,68,23,67,90,93,40,56,2,103,399
Toney Douglas,SAC,PG,21,0,356,43,105,19,49,16,16,11,36,47,57,29,24,1,39,121
Tony Allen,MEM,SG,78,78,2095,282,635,3,24,134,187,121,240,361,96,118,92,43,209,701
Tony Parker,SAS,PG,66,66,2181,519,995,24,69,279,330,18,180,198,499,54,170,6,92,1341
Tony Wroten,MEM,PG,35,0,270,33,86,4,16,21,29,13,15,28,43,8,29,4,34,91
Tornike Shengelia,BKN,SF,19,0,94,10,23,1,2,9,16,9,14,23,3,3,11,1,11,30
Travis Outlaw,SAC,SF,37,2,436,73,173,14,50,38,52,17,43,60,21,11,18,8,35,198
Trevor Ariza,WAS,SF,57,15,1503,190,460,77,215,78,95,44,227,271,115,74,85,21,72,535
Trevor Booker,WAS,PF,49,14,903,108,221,0,5,45,78,99,143,242,40,35,33,16,99,261
Tristan Thompson,CLE,PF,81,81,2526,380,782,0,3,168,282,299,457,756,107,60,122,70,231,928
Troy Murphy,DAL,PF,14,1,256,22,61,11,35,10,11,7,42,49,7,10,7,6,29,65
Ty Lawson,DEN,PG,73,71,2514,448,971,85,232,235,311,36,162,198,500,108,182,8,135,1216
Tyler Hansbrough,IND,PF,81,8,1370,176,408,0,3,216,300,161,216,377,38,28,78,19,150,568
Tyler Honeycutt,SAC,SF,9,0,32,3,11,0,2,2,2,3,7,10,2,0,5,1,2,8
Tyler Zeller,CLE,C,76,54,2000,241,550,0,4,119,155,159,273,432,96,35,94,70,246,601
Tyreke Evans,SAC,PG,64,60,1974,356,750,43,129,206,265,54,224,278,222,90,127,27,132,961
Tyrus Thomas,CHA,PF,26,2,350,46,131,3,7,26,31,14,44,58,19,13,17,15,51,121
Tyshawn Taylor,BKN,PG,39,0,219,32,87,6,13,15,27,2,16,18,21,13,25,0,25,85
Tyson Chandler,NYK,C,65,65,2125,252,393,0,0,179,258,265,427,692,59,41,87,76,186,683
Udonis Haslem,MIA,PF,75,59,1412,132,258,0,0,34,47,97,305,402,38,30,44,16,172,298
Viacheslav Kravtsov,DET,C,25,0,224,33,46,0,0,11,37,24,21,45,9,5,14,9,32,77
Victor Claver,POR,SF,48,15,788,70,181,25,85,13,29,30,87,117,42,25,41,11,72,178
Vince Carter,DAL,SG,80,3,2062,369,844,161,393,182,223,58,273,331,186,76,106,43,225,1081
Vladimir Radmanovic,CHI,SF,24,0,118,10,40,4,26,2,3,9,15,24,6,6,7,3,26,26
Wayne Ellington,CLE,SG,37,16,949,140,322,52,141,52,57,19,89,108,62,28,32,2,42,384
Wayne Ellington,MEM,SG,40,4,676,81,199,41,97,15,16,5,47,52,42,16,24,1,38,218
Wesley Johnson,PHO,SF,49,20,922,157,387,50,152,26,33,21,100,121,34,22,45,18,56,390
Wesley Matthews,POR,SG,68,68,2364,346,789,168,414,144,181,34,154,188,170,88,107,18,169,1004
Will Barton,POR,SG,72,5,869,114,300,9,63,49,64,35,104,139,54,34,59,8,54,286
Will Bynum,DET,PG,65,0,1217,253,540,24,76,106,131,28,69,97,231,45,125,5,128,636
Will Conroy,MIN,PG,4,0,21,0,9,0,3,1,2,1,0,1,0,0,0,0,1,1
Willie Green,LAC,SG,72,60,1185,178,386,71,166,23,32,17,80,97,55,29,31,12,96,450
Wilson Chandler,DEN,SG,44,9,1111,219,470,55,132,88,112,47,177,224,61,47,60,12,121,581
Xavier Henry,NOR,SG,49,2,609,66,156,4,11,55,88,20,68,88,13,15,30,5,72,191
Zach Randolph,MEM,PF,75,74,2571,464,1007,2,23,224,299,308,539,847,108,61,150,30,178,1154
Zaza Pachulia,ATL,C,52,15,1133,114,241,0,3,78,103,132,204,336,79,35,70,12,128,306
